8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
17,8,17,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
12,8,8,8,15,15,15,15,8,8,8,8,8,8,8,8,
12,8,8,8,15,16,15,15,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,17,8,8,8,8,8,8,8,
3,3,3,5,8,8,8,17,8,8,17,8,8,8,8,8,
7,7,1,4,8,8,17,17,8,17,17,8,8,8,8,8,
