7,7,7,4,8,8,8,17,8,8,8,8,8,8,8,8,
6,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,
10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,
10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,
10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,
10,10,8,8,8,8,10,8,8,8,8,8,8,8,8,8,
8,10,8,8,5,3,13,3,3,3,3,5,8,8,8,8,
8,10,8,8,4,13,13,13,13,13,13,4,8,8,8,8,
8,10,8,8,4,13,13,13,13,13,13,4,8,8,8,8,
8,10,8,8,4,13,13,13,13,13,13,4,8,8,8,8,
10,10,8,8,3,3,3,3,3,13,3,3,8,8,8,8,
8,10,8,8,8,8,8,8,8,10,8,8,8,8,8,8,
8,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
